iter	Passed	Remaining
341	1606	3091
342	1608	3080
343	1609	3068
344	1620	3076
345	1622	3065
346	1623	3054
347	1624	3043
348	1625	3031
349	1636	3038
350	1637	3027
351	1638	3016
352	1639	3004
353	1640	2993
354	1641	2982
355	1647	2980
356	1649	2970
357	1650	2960
358	1651	2949
359	1653	2938
360	1654	2928
361	1659	2924
362	1660	2914
363	1662	2904
364	1663	2894
365	1665	2884
366	1666	2873
367	1667	2863
368	1669	2854
369	1673	2850
370	1674	2839
371	1675	2829
372	1676	2818
373	1677	2808
374	1678	2797
375	1679	2787
376	1680	2776
377	1681	2766
378	1682	2756
379	1683	2746
380	1684	2736
381	1691	2737
382	1693	2727
383	1693	2717
384	1694	2707
385	1695	2697
386	1696	2687
387	1697	2677
388	1698	2668
389	1700	2659
390	1701	2650
391	1702	2640
392	1703	2630
393	1704	2621
394	1705	2611
395	1705	2602
396	1706	2592
397	1707	2583
398	1708	2573
399	1709	2564
400	1710	2555
401	1715	2552
402	1716	2543
403	1717	2533
404	1718	2524
405	1719	2515
406	1720	2506
407	1720	2497
408	1722	2488
409	1722	2479
410	1724	2470
411	1725	2462
412	1726	2453
413	1727	2445
414	1728	2437
415	1729	2428
416	1730	2419
417	1731	2410
418	1733	2403
419	1734	2394
420	1736	2388
421	1737	2380
422	1742	2376
