iter	Passed	Remaining
754	1781	578
755	1782	575
756	1784	572
757	1785	570
758	1787	567
759	1788	564
760	1789	562
761	1791	559
762	1792	556
763	1793	553
764	1794	551
765	1795	548
766	1796	545
767	1797	542
768	1798	540
769	1799	537
770	1810	537
771	1811	535
772	1812	532
773	1813	529
774	1814	526
775	1815	524
776	1816	521
777	1817	518
778	1819	516
779	1820	513
780	1821	510
781	1822	508
782	1823	505
783	1825	502
784	1826	500
785	1827	497
786	1828	494
787	1829	492
788	1830	489
789	1831	486
790	1832	484
791	1834	481
792	1835	479
793	1836	476
794	1837	473
795	1838	471
796	1839	468
797	1856	469
798	1857	467
799	1858	464
800	1859	462
801	1860	459
802	1861	456
803	1862	454
804	1863	451
805	1864	448
806	1865	446
807	1866	443
808	1867	440
809	1868	438
810	1869	435
811	1870	433
812	1871	430
813	1872	427
814	1873	425
815	1874	422
816	1875	420
817	1877	417
818	1878	415
819	1879	412
820	1880	410
821	1881	407
822	1883	405
823	1884	402
824	1885	399
825	1900	400
826	1901	397
827	1902	395
828	1903	392
829	1904	390
830	1905	387
831	1906	385
832	1907	382
833	1908	379
834	1909	377
835	1915	375
836	1916	373
837	1917	370
838	1918	368
839	1919	365
840	1920	363
841	1921	360
842	1922	358
843	1923	355
844	1924	353
845	1925	350
846	1926	348
847	1927	345
848	1929	343
849	1930	340
850	1931	338
851	1932	335
852	1943	334
853	1944	332
854	1945	329
855	1946	327
856	1947	324
857	1948	322
858	1949	320
859	1950	317
860	1951	315
861	1952	312
862	1953	310
863	1954	307
864	1955	305
865	1956	302
866	1957	300
867	1958	297
868	1959	295
869	1960	292
870	1961	290
871	1962	288
872	1963	285
873	1964	283
874	1965	280
875	1966	278
876	1967	275
877	1968	273
878	1970	271
879	1971	268
880	1972	266
881	1994	266
882	1995	264
883	1996	261
884	1997	259
885	1998	257
886	1999	254
887	2000	252
888	2007	250
889	2008	248
890	2009	245
891	2010	243
892	2011	241
893	2012	238
894	2013	236
895	2014	233
896	2015	231
897	2016	229
898	2017	226
899	2018	224
900	2019	221
901	2020	219
902	2021	217
903	2022	214
904	2023	212
905	2024	210
906	2025	207
907	2026	205
908	2042	204
909	2043	202
910	2044	199
911	2045	197
912	2046	195
913	2047	192
914	2048	190
915	2049	187
916	2050	185
917	2051	183
918	2052	180
919	2053	178
920	2054	176
921	2055	173
922	2056	171
923	2057	169
924	2058	166
925	2059	164
926	2060	162
927	2061	159
928	2062	157
929	2063	155
930	2064	153
931	2065	150
932	2066	148
933	2067	146
934	2068	143
935	2069	141
936	2070	139
937	2071	136
938	2072	134
939	2073	132
940	2074	130
941	2075	127
942	2076	125
943	2077	123
944	2078	120
945	2079	118
946	2080	116
947	2081	114
948	2082	111
949	2083	109
950	2084	107
951	2085	105
952	2086	102
953	2087	100
954	2088	98
955	2089	96
956	2090	93
957	2091	91
958	2092	89
959	2093	87
960	2095	85
961	2097	82
962	2099	80
963	2123	79
964	2124	77
965	2125	74
966	2126	72
967	2127	70
968	2128	68
969	2129	65
970	2130	63
971	2131	61
972	2132	59
973	2133	56
974	2134	54
975	2135	52
976	2136	50
977	2137	48
978	2138	45
979	2139	43
980	2140	41
981	2141	39
982	2142	37
983	2144	34
984	2145	32
985	2146	30
986	2147	28
987	2148	26
988	2149	23
989	2150	21
990	2151	19
991	2152	17
992	2153	15
993	2155	13
994	2156	10
995	2157	8
996	2158	6
997	2159	4
998	2160	2
999	2161	0
